"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-113.474905,53.51995,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","3961271488","https://www.inaturalist.org/observations/125504635","HUMAN_OBSERVATION",2022,7,9,"2022-07-09T14:23:40","WGS84","iNaturalist research-grade observations","125504635"
"Eurybia conspicua",-113.602125,53.506014,"cdc,cdround","CAN",NA,"PRESENT",15,"iNaturalist","3961142489","https://www.inaturalist.org/observations/126257637","HUMAN_OBSERVATION",2022,7,12,"2022-07-12T17:27:00","WGS84","iNaturalist research-grade observations","126257637"
"Eurybia conspicua",-113.441062,52.580088,"cdc,cdround","CAN",NA,"PRESENT",10,"iNaturalist","4006724496","https://www.inaturalist.org/observations/126774038","HUMAN_OBSERVATION",2022,7,17,"2022-07-17T18:45:57","WGS84","iNaturalist research-grade observations","126774038"
"Eurybia conspicua",-113.381638,53.556732,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","3966571442","https://www.inaturalist.org/observations/127307413","HUMAN_OBSERVATION",2022,7,21,"2022-07-21T20:07:01","WGS84","iNaturalist research-grade observations","127307413"
"Eurybia conspicua",-113.618291,53.465222,"cdc,cdround","CAN",NA,"PRESENT",8,"iNaturalist","3925021539","https://www.inaturalist.org/observations/127459300","HUMAN_OBSERVATION",2022,7,22,"2022-07-22T16:18:00","WGS84","iNaturalist research-grade observations","127459300"
"Eurybia conspicua",-105.91872,53.720777,"cdc,cdround","CAN",NA,"PRESENT",6,"iNaturalist","4009803498","https://www.inaturalist.org/observations/127674846","HUMAN_OBSERVATION",2022,7,24,"2022-07-24T08:06:57","WGS84","iNaturalist research-grade observations","127674846"
"Eurybia conspicua",-115.580076,51.189311,"cdc,cdround","CAN",NA,"PRESENT",9,"iNaturalist","4009796520","https://www.inaturalist.org/observations/127896869","HUMAN_OBSERVATION",2022,7,25,"2022-07-25T14:18:21","WGS84","iNaturalist research-grade observations","127896869"
"Eurybia conspicua",-106.290658,53.969562,"cdc,cdround","CAN",NA,"PRESENT",20,"iNaturalist","4028682928","https://www.inaturalist.org/observations/127914878","HUMAN_OBSERVATION",2022,7,25,"2022-07-25T15:05:00","WGS84","iNaturalist research-grade observations","127914878"
"Eurybia conspicua",-114.812387,47.069553,"cdc,cdround","USA",NA,"PRESENT",32,"iNaturalist","4022088531","https://www.inaturalist.org/observations/128101158","HUMAN_OBSERVATION",2022,7,26,"2022-07-26T21:21:30","WGS84","iNaturalist research-grade observations","128101158"
"Eurybia conspicua",-113.559897,53.502544,"cdc,cdround","CAN",NA,"PRESENT",170,"iNaturalist","4039327596","https://www.inaturalist.org/observations/128337161","HUMAN_OBSERVATION",2022,7,24,"2022-07-24T19:12:00","WGS84","iNaturalist research-grade observations","128337161"
"Eurybia conspicua",-113.627293,53.612079,"cdc,cdround","CAN",NA,"PRESENT",3,"iNaturalist","4009793503","https://www.inaturalist.org/observations/128453234","HUMAN_OBSERVATION",2022,7,29,"2022-07-29T08:34:07","WGS84","iNaturalist research-grade observations","128453234"
"Eurybia conspicua",-119.738136,49.342191,"cdc,cdround","CAN",NA,"PRESENT",77,"iNaturalist","4039252612","https://www.inaturalist.org/observations/128472172","HUMAN_OBSERVATION",2022,7,28,"2022-07-28T10:09:30","WGS84","iNaturalist research-grade observations","128472172"
"Eurybia conspicua",-120.730258,51.378002,"cdc,cdround","CAN",NA,"PRESENT",216,"iNaturalist","4171727389","https://www.inaturalist.org/observations/128554959","HUMAN_OBSERVATION",2022,7,29,"2022-07-29T16:36:43","WGS84","iNaturalist research-grade observations","128554959"
"Eurybia conspicua",-114.201223,51.077022,"cdc,cdround","CAN",NA,"PRESENT",264,"iNaturalist","3881626358","https://www.inaturalist.org/observations/128695241","HUMAN_OBSERVATION",2022,7,30,"2022-07-30T10:52:00","WGS84","iNaturalist research-grade observations","128695241"
"Eurybia conspicua",-114.08298,48.053812,"cdc,cdround","USA",NA,"PRESENT",9,"iNaturalist","4022163626","https://www.inaturalist.org/observations/128701198","HUMAN_OBSERVATION",2022,7,30,"2022-07-30T17:06:18","WGS84","iNaturalist research-grade observations","128701198"
